row_number,player_name,team_abbreviation,age,gp,w,l,min,pts,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,pf,nba_fantasy_pts,dd2,td3,plus_minus,last_update,season
40,Kris Murray,POR,24,66,30,36,952.0,264,108,249,43.4,26,107,24.3,22,51,43.1,66,96,162,58,38,32,14,61,645,0,0,-58,2025-04-07 11:37:37.144203,2024-25
40,Kristaps Porziņģis,BOS,29,40,28,12,1153.0,773,264,544,48.5,93,230,40.4,152,187,81.3,67,208,275,82,51,30,62,113,1451,6,0,176,2025-04-07 11:37:37.144203,2024-25
40,Kyle Anderson,MIA,31,57,28,29,903.7,328,129,278,46.4,25,70,35.7,45,60,75.0,51,135,186,128,34,39,25,75,901,2,0,-40,2025-04-07 11:37:37.144203,2024-25
40,Kyle Filipowski,UTA,21,69,12,57,1427.8,630,234,471,49.7,72,203,35.5,90,138,65.2,101,305,406,131,95,44,16,156,1399,11,0,-320,2025-04-07 11:37:37.144203,2024-25
40,Kyle Kuzma,MIL,29,61,21,40,1849.3,905,348,812,42.9,85,293,29.0,124,196,63.3,50,310,360,148,139,34,18,114,1576,6,0,-437,2025-04-07 11:37:37.144203,2024-25
40,Kyle Lowry,PHI,39,34,14,20,639.2,133,39,112,34.8,28,84,33.3,27,33,81.8,11,55,66,95,21,33,11,61,466,0,0,-65,2025-04-07 11:37:37.144203,2024-25
40,Kylor Kelley,NOP,27,8,3,5,66.7,24,10,13,76.9,0,0,0.0,4,6,66.7,8,13,21,2,1,0,2,8,57,1,0,-36,2025-04-07 11:37:37.144203,2024-25
40,Kyrie Irving,DAL,33,50,28,22,1803.8,1234,447,945,47.3,144,359,40.1,196,214,91.6,60,180,240,231,111,66,23,101,2025,0,0,124,2025-04-07 11:37:37.144203,2024-25
40,Kyshawn George,WAS,21,64,14,50,1715.3,552,189,513,36.8,107,333,32.1,67,88,76.1,49,224,273,161,95,66,50,193,1374,1,0,-349,2025-04-07 11:37:37.144203,2024-25
40,LaMelo Ball,CHA,23,47,16,31,1504.5,1184,406,1003,40.5,179,528,33.9,193,229,84.3,47,185,232,346,167,54,13,157,2015,13,0,-130,2025-04-07 11:37:37.144203,2024-25
40,Lamar Stevens,MEM,27,13,5,8,110.8,40,14,35,40.0,5,16,31.3,7,9,77.8,3,26,29,5,7,5,3,11,99,0,0,39,2025-04-07 11:37:37.144203,2024-25
40,Landry Shamet,NYK,28,46,29,17,678.9,230,88,195,45.1,47,128,36.7,7,13,53.8,9,45,54,25,22,22,2,49,382,0,0,70,2025-04-07 11:37:37.144203,2024-25
40,Larry Nance Jr.,ATL,32,24,10,14,463.2,203,80,155,51.6,34,76,44.7,9,13,69.2,23,80,103,38,16,20,13,37,467,3,0,-95,2025-04-07 11:37:37.144203,2024-25
40,Lauri Markkanen,UTA,27,47,9,38,1475.8,892,296,700,42.3,138,399,34.6,162,185,87.6,72,206,278,70,66,33,17,79,1415,5,0,-186,2025-04-07 11:37:37.144203,2024-25
40,Leonard Miller,MIN,21,12,10,2,30.8,18,5,14,35.7,0,5,0.0,8,8,100,3,8,11,0,2,2,1,2,38,0,0,-14,2025-04-07 11:37:37.144203,2024-25
40,Lester Quinones,NOP,24,9,3,6,69.7,36,14,26,53.8,6,13,46.2,2,2,100,3,3,6,6,7,1,1,4,51,0,0,1,2025-04-07 11:37:37.144203,2024-25
40,Liam Robbins,MIL,25,13,8,5,57.0,9,2,8,25.0,0,2,0.0,5,10,50.0,7,5,12,2,6,2,2,9,32,0,0,-5,2025-04-07 11:37:37.144203,2024-25
40,Lindy Waters III,DET,27,51,27,24,743.0,238,86,233,36.9,58,170,34.1,8,11,72.7,20,84,104,51,20,26,10,61,527,0,0,10,2025-04-07 11:37:37.144203,2024-25
40,Lonnie Walker IV,PHI,26,16,2,14,348.1,151,56,140,40.0,26,82,31.7,13,17,76.5,5,46,51,42,17,8,4,16,294,1,0,-120,2025-04-07 11:37:37.144203,2024-25
40,Lonzo Ball,CHI,27,35,16,19,777.0,267,89,243,36.6,67,195,34.4,22,27,81.5,25,93,118,115,41,47,17,55,732,0,0,100,2025-04-07 11:37:37.144203,2024-25
40,Luguentz Dort,OKC,25,70,56,14,2042.4,702,252,582,43.3,165,405,40.7,33,44,75.0,88,202,290,113,51,77,39,205,1517,0,0,539,2025-04-07 11:37:37.144203,2024-25
40,Luka Garza,MIN,26,38,27,11,215.9,138,52,105,49.5,10,36,27.8,24,35,68.6,31,22,53,11,11,6,3,29,234,0,0,-3,2025-04-07 11:37:37.144203,2024-25
40,Luke Kennard,MEM,28,63,36,27,1432.2,564,202,422,47.9,111,254,43.7,49,55,89.1,36,139,175,210,71,49,5,55,1180,0,0,112,2025-04-07 11:37:37.144203,2024-25
40,Luke Kornet,BOS,29,69,50,19,1269.2,406,172,253,68.0,0,2,0.0,62,89,69.7,180,190,370,111,28,33,65,110,1283,3,0,373,2025-04-07 11:37:37.144203,2024-25
40,Luke Travers,CLE,23,10,9,1,56.8,8,3,11,27.3,0,4,0.0,2,2,100,5,7,12,5,5,1,1,5,31,0,0,-4,2025-04-07 11:37:37.144203,2024-25
40,Mac McClung,ORL,26,2,1,1,10.2,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,2,6,0,0,-2,2025-04-07 11:37:37.144203,2024-25
40,Malachi Flynn,CHA,26,4,2,2,43.7,16,5,13,38.5,1,4,25.0,5,6,83.3,3,4,7,7,4,3,0,4,40,0,0,1,2025-04-07 11:37:37.144203,2024-25
40,Malaki Branham,SAS,21,44,17,27,383.1,200,73,164,44.5,30,77,39.0,24,29,82.8,6,40,46,36,33,9,2,23,309,0,0,-51,2025-04-07 11:37:37.144203,2024-25
40,Malcolm Brogdon,WAS,32,24,6,18,564.1,305,104,240,43.3,16,56,28.6,81,92,88.0,21,70,91,98,38,13,5,30,577,2,0,-121,2025-04-07 11:37:37.144203,2024-25
40,Malevy Leons,OKC,25,6,6,0,21.0,2,0,2,0.0,0,1,0.0,2,4,50.0,1,2,3,1,1,0,0,4,6,0,0,-18,2025-04-07 11:37:37.144203,2024-25
40,Malik Beasley,DET,28,78,43,35,2180.8,1268,437,1018,42.9,301,724,41.6,93,135,68.9,47,164,211,133,82,72,5,120,1870,1,0,178,2025-04-07 11:37:37.144203,2024-25
40,Malik Monk,SAC,27,64,35,29,2047.7,1115,411,936,43.9,139,427,32.6,154,178,86.5,30,215,245,361,158,61,38,157,2090,4,0,118,2025-04-07 11:37:37.144203,2024-25
40,MarJon Beauchamp,NYK,24,34,18,16,151.4,75,26,64,40.6,10,29,34.5,13,18,72.2,11,29,40,10,15,4,1,14,138,0,0,13,2025-04-07 11:37:37.144203,2024-25
40,Marcus Bagley,PHI,23,6,0,6,120.9,27,12,30,40.0,0,13,0.0,3,4,75.0,10,21,31,2,2,3,7,6,95,0,0,-77,2025-04-07 11:37:37.144203,2024-25
40,Marcus Garrett,CHA,26,4,1,3,79.4,28,11,27,40.7,3,8,37.5,3,4,75.0,1,5,6,13,6,3,2,10,64,0,0,-39,2025-04-07 11:37:37.144203,2024-25
40,Marcus Sasser,DET,24,55,30,25,757.4,349,127,272,46.7,56,144,38.9,39,47,83.0,17,50,67,120,51,35,4,68,675,0,0,44,2025-04-07 11:37:37.144203,2024-25
40,Marcus Smart,WAS,31,34,17,17,680.3,305,101,257,39.3,49,141,34.8,54,71,76.1,18,54,72,109,54,39,9,53,645,0,0,42,2025-04-07 11:37:37.144203,2024-25
40,Mark Williams,CHA,23,42,9,33,1115.5,653,261,424,61.6,0,3,0.0,131,163,80.4,125,303,428,105,63,29,52,101,1504,20,0,-244,2025-04-07 11:37:37.144203,2024-25
40,Markelle Fultz,SAC,26,20,8,12,172.1,57,26,64,40.6,4,8,50.0,1,1,100,6,12,18,23,14,10,1,11,132,0,0,5,2025-04-07 11:37:37.144203,2024-25
40,Markieff Morris,LAL,35,14,7,7,131.6,45,16,60,26.7,8,33,24.2,5,6,83.3,3,16,19,15,3,1,2,12,96,0,0,-11,2025-04-07 11:37:37.144203,2024-25
40,Marvin Bagley III,MEM,26,28,5,23,231.5,111,44,87,50.6,3,16,18.8,20,31,64.5,33,39,72,8,11,8,8,15,246,0,0,-29,2025-04-07 11:37:37.144203,2024-25
40,Mason Jones,SAC,26,10,4,6,45.4,23,9,18,50.0,1,8,12.5,4,5,80.0,2,7,9,11,1,0,1,3,52,0,0,1,2025-04-07 11:37:37.144203,2024-25
40,Mason Plumlee,PHX,35,70,32,38,1227.4,314,119,194,61.3,0,3,0.0,76,116,65.5,112,324,436,126,57,31,45,148,1197,2,0,55,2025-04-07 11:37:37.144203,2024-25
40,Matas Buzelis,CHI,20,76,36,40,1403.9,625,230,516,44.6,87,247,35.2,78,96,81.3,52,208,260,69,66,25,70,125,1260,1,0,-53,2025-04-07 11:37:37.144203,2024-25
40,Matisse Thybulle,POR,28,12,7,5,222.7,74,29,65,44.6,14,35,40.0,2,4,50.0,9,30,39,20,8,26,6,8,239,0,0,7,2025-04-07 11:37:37.144203,2024-25
40,Matt Ryan,NYK,27,19,14,5,67.8,28,10,31,32.3,6,19,31.6,2,2,100,0,8,8,3,3,2,0,1,45,0,0,-40,2025-04-07 11:37:37.144203,2024-25
40,Max Christie,DAL,22,75,39,36,2030.3,707,236,558,42.3,111,300,37.0,124,144,86.1,37,207,244,139,79,62,28,113,1399,0,0,-64,2025-04-07 11:37:37.144203,2024-25
40,Max Strus,CLE,29,48,37,11,1212.5,443,155,351,44.2,105,274,38.3,28,34,82.4,53,154,207,151,48,26,10,99,978,0,0,210,2025-04-07 11:37:37.144203,2024-25
40,Maxi Kleber,LAL,33,34,18,16,636.9,103,37,96,38.5,13,49,26.5,16,21,76.2,25,70,95,43,23,9,17,66,337,0,0,-17,2025-04-07 11:37:37.144203,2024-25
40,Maxwell Lewis,BKN,22,25,8,17,283.2,101,39,93,41.9,18,44,40.9,5,8,62.5,17,29,46,16,10,8,6,23,212,0,0,-45,2025-04-07 11:37:37.144203,2024-25
40,Micah Potter,UTA,27,35,9,26,617.3,148,51,116,44.0,30,84,35.7,16,18,88.9,37,109,146,27,27,12,12,46,409,0,0,-78,2025-04-07 11:37:37.144203,2024-25
40,Michael Porter Jr.,DEN,26,74,44,30,2499.1,1351,511,1014,50.4,186,473,39.3,143,186,76.9,134,382,516,163,102,49,36,151,2368,15,0,248,2025-04-07 11:37:37.144203,2024-25
40,Mikal Bridges,NYK,28,78,50,28,2928.8,1396,573,1145,50.0,160,450,35.6,90,111,81.1,67,184,251,287,127,72,41,117,2340,1,0,361,2025-04-07 11:37:37.144203,2024-25
40,Mike Conley,MIN,37,67,41,26,1672.8,567,182,450,40.4,126,300,42.0,77,86,89.5,30,140,170,301,73,77,13,104,1420,1,0,249,2025-04-07 11:37:37.144203,2024-25
40,Miles McBride,NYK,24,60,38,22,1486.3,565,205,502,40.8,106,284,37.3,49,60,81.7,44,105,149,171,39,58,17,98,1186,0,0,200,2025-04-07 11:37:37.144203,2024-25
40,Miles Norris,BOS,24,1,1,0,4.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,0,0,-4,2025-04-07 11:37:37.144203,2024-25
40,Mitchell Robinson,NYK,27,15,10,5,241.6,75,32,49,65.3,0,0,0.0,11,15,73.3,43,44,87,10,10,13,15,23,268,2,0,21,2025-04-07 11:37:37.144203,2024-25
