row_number,player_name,team_abbreviation,age,gp,w,l,min,pts,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,pf,nba_fantasy_pts,dd2,td3,plus_minus,last_update,season
40,Mo Bamba,NOP,26,32,19,13,413.5,138,52,112,46.4,15,54,27.8,19,27,70.4,32,113,145,18,20,9,31,56,439,0,0,-75,2025-04-07 11:37:37.144203,2024-25
40,Monté Morris,PHX,29,43,21,22,543.0,218,77,185,41.6,28,81,34.6,36,42,85.7,11,51,62,69,19,20,3,21,446,0,0,63,2025-04-07 11:37:37.144203,2024-25
40,Moritz Wagner,ORL,27,30,18,12,564.2,386,140,249,56.2,27,75,36.0,79,110,71.8,40,108,148,42,49,24,12,55,686,1,0,-17,2025-04-07 11:37:37.144203,2024-25
40,Moses Brown,DAL,25,13,5,8,118.6,76,34,49,69.4,0,0,0.0,8,11,72.7,12,32,44,2,11,6,4,17,151,1,0,-14,2025-04-07 11:37:37.144203,2024-25
40,Moses Moody,GSW,22,70,43,27,1546.5,699,236,538,43.9,122,322,37.9,105,132,79.5,47,129,176,92,50,51,28,107,1235,0,0,123,2025-04-07 11:37:37.144203,2024-25
40,Mouhamed Gueye,ATL,22,29,12,17,451.6,173,64,153,41.8,18,74,24.3,27,34,79.4,29,71,100,22,11,23,29,45,471,1,0,46,2025-04-07 11:37:37.144203,2024-25
40,Moussa Diabaté,CHA,23,69,15,54,1199.2,383,158,265,59.6,0,4,0.0,67,112,59.8,182,245,427,54,58,44,38,106,1164,7,0,-131,2025-04-07 11:37:37.144203,2024-25
40,Myles Turner,IND,29,69,41,28,2094.6,1084,379,785,48.3,153,381,40.2,173,223,77.6,84,368,452,108,118,54,134,178,2234,12,0,207,2025-04-07 11:37:37.144203,2024-25
40,N'Faly Dante,HOU,23,1,0,1,18.6,10,4,6,66.7,0,0,0.0,2,3,66.7,4,5,9,1,1,0,2,4,27,0,0,2,2025-04-07 11:37:37.144203,2024-25
40,Nae'Qwan Tomlin,CLE,24,4,4,0,16.6,12,5,11,45.5,0,2,0.0,2,3,66.7,3,6,9,0,1,0,0,3,22,0,0,-2,2025-04-07 11:37:37.144203,2024-25
40,Naji Marshall,DAL,27,66,31,35,1826.8,873,345,678,50.9,56,207,27.1,127,156,81.4,74,245,319,193,104,68,11,105,1678,6,0,-121,2025-04-07 11:37:37.144203,2024-25
40,Nate Williams,HOU,26,17,14,3,92.1,42,17,40,42.5,4,17,23.5,4,6,66.7,1,6,7,5,9,5,4,10,76,0,0,-8,2025-04-07 11:37:37.144203,2024-25
40,Naz Reid,MIN,25,76,44,32,2098.9,1089,407,882,46.1,170,444,38.3,105,137,76.6,83,374,457,173,105,57,71,181,2176,10,0,324,2025-04-07 11:37:37.144203,2024-25
40,Neemias Queta,BOS,25,59,44,15,799.6,290,124,189,65.6,0,3,0.0,42,56,75.0,84,138,222,38,37,16,37,100,735,0,0,141,2025-04-07 11:37:37.144203,2024-25
40,Nic Claxton,BKN,25,67,19,48,1824.0,692,306,549,55.7,3,19,15.8,77,150,51.3,153,354,507,153,86,59,99,147,1918,13,0,-479,2025-04-07 11:37:37.144203,2024-25
40,Nick Richards,PHX,27,56,17,39,1236.1,525,203,342,59.4,0,2,0.0,119,160,74.4,147,310,457,49,80,14,54,139,1271,16,0,-217,2025-04-07 11:37:37.144203,2024-25
40,Nick Smith Jr.,CHA,20,57,14,43,1300.3,546,208,542,38.4,94,289,32.5,36,39,92.3,13,103,116,129,79,17,6,77,869,0,0,-372,2025-04-07 11:37:37.144203,2024-25
40,Nickeil Alexander-Walker,MIN,26,78,46,32,1978.6,740,259,588,44.0,136,351,38.7,86,111,77.5,51,199,250,209,95,47,32,132,1496,1,0,266,2025-04-07 11:37:37.144203,2024-25
40,Nicolas Batum,LAC,36,76,45,31,1337.0,289,96,227,42.3,81,193,42.0,16,20,80.0,45,168,213,84,32,51,36,108,900,0,0,152,2025-04-07 11:37:37.144203,2024-25
40,Nikola Jović,MIA,21,46,21,25,1155.7,494,172,377,45.6,78,210,37.1,72,87,82.8,26,154,180,131,60,38,13,82,1000,0,0,-20,2025-04-07 11:37:37.144203,2024-25
40,Noah Clowney,BKN,20,46,11,35,1042.3,420,133,372,35.8,87,261,33.3,67,80,83.8,43,138,181,40,46,24,21,105,786,0,0,-261,2025-04-07 11:37:37.144203,2024-25
40,Norman Powell,LAC,31,57,36,21,1836.9,1254,438,902,48.6,173,412,42.0,205,253,81.0,20,161,181,121,102,71,9,106,1791,1,0,330,2025-04-07 11:37:37.144203,2024-25
40,OG Anunoby,NYK,27,72,45,27,2629.7,1304,478,996,48.0,169,446,37.9,179,218,82.1,94,252,346,159,97,106,63,169,2368,1,0,310,2025-04-07 11:37:37.144203,2024-25
40,Obi Toppin,IND,27,75,45,30,1472.3,800,305,568,53.7,106,286,37.1,84,106,79.2,52,247,299,120,63,43,26,103,1483,2,0,-75,2025-04-07 11:37:37.144203,2024-25
40,Ochai Agbaji,TOR,24,62,19,43,1665.5,629,251,507,49.5,93,238,39.1,34,48,70.8,56,178,234,97,53,51,29,119,1242,0,0,-197,2025-04-07 11:37:37.144203,2024-25
40,Olivier-Maxence Prosper,DAL,22,52,27,25,584.1,201,70,174,40.2,12,51,23.5,49,76,64.5,44,82,126,40,14,26,6,28,494,0,0,-104,2025-04-07 11:37:37.144203,2024-25
40,Onyeka Okongwu,ATL,24,71,33,38,1960.9,940,372,653,57.0,43,136,31.6,153,204,75.0,211,412,623,161,82,65,67,182,2243,26,0,27,2025-04-07 11:37:37.144203,2024-25
40,Orlando Robinson,TOR,24,43,22,21,736.2,294,112,251,44.6,17,48,35.4,53,68,77.9,84,124,208,74,48,17,16,95,706,4,0,-103,2025-04-07 11:37:37.144203,2024-25
40,Oscar Tshiebwe,UTA,25,11,2,9,186.2,62,23,39,59.0,0,0,0.0,16,20,80.0,30,56,86,7,6,9,0,18,197,1,0,-2,2025-04-07 11:37:37.144203,2024-25
40,Oshae Brissett,PHI,26,6,1,5,142.2,52,19,39,48.7,6,18,33.3,8,14,57.1,7,15,22,4,8,4,3,14,97,0,0,-31,2025-04-07 11:37:37.144203,2024-25
40,Oso Ighodaro,PHX,22,57,24,33,941.0,232,102,164,62.2,0,2,0.0,28,48,58.3,57,145,202,64,33,24,24,98,681,0,0,5,2025-04-07 11:37:37.144203,2024-25
40,Ousmane Dieng,OKC,21,37,30,7,404.8,142,54,125,43.2,23,71,32.4,11,16,68.8,18,63,81,31,18,17,7,33,340,0,0,45,2025-04-07 11:37:37.144203,2024-25
40,P.J. Tucker,NYK,39,1,0,1,1.8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,2025-04-07 11:37:37.144203,2024-25
40,P.J. Washington,DAL,26,55,30,25,1775.3,808,291,645,45.1,86,230,37.4,140,192,72.9,79,350,429,124,113,60,59,130,1753,14,0,51,2025-04-07 11:37:37.144203,2024-25
40,PJ Dozier,MIN,28,9,7,2,34.9,7,2,3,66.7,2,3,66.7,1,6,16.7,1,4,5,5,1,1,0,3,23,0,0,-4,2025-04-07 11:37:37.144203,2024-25
40,PJ Hall,DEN,23,19,12,7,66.2,33,14,24,58.3,2,8,25.0,3,4,75.0,6,16,22,4,2,0,4,11,75,0,0,-2,2025-04-07 11:37:37.144203,2024-25
40,Pacôme Dadiet,NYK,19,17,13,4,100.1,26,9,28,32.1,6,18,33.3,2,3,66.7,0,14,14,5,3,3,2,6,62,0,0,-13,2025-04-07 11:37:37.144203,2024-25
40,Paolo Banchero,ORL,22,44,19,25,1515.3,1143,394,870,45.3,83,260,31.9,272,373,72.9,49,282,331,209,132,36,27,92,1911,10,0,-36,2025-04-07 11:37:37.144203,2024-25
40,Pascal Siakam,IND,31,76,45,31,2480.6,1544,598,1153,51.9,124,321,38.6,224,304,73.7,127,395,522,258,107,68,41,187,2777,10,0,309,2025-04-07 11:37:37.144203,2024-25
40,Pat Connaughton,MIL,32,39,17,22,551.7,168,66,144,45.8,21,68,30.9,15,19,78.9,18,80,98,64,22,7,11,42,414,0,0,-19,2025-04-07 11:37:37.144203,2024-25
40,Pat Spencer,GSW,28,37,22,15,234.4,88,37,95,38.9,3,19,15.8,11,15,73.3,15,29,44,44,15,13,3,20,240,0,0,-11,2025-04-07 11:37:37.144203,2024-25
40,Patrick Baldwin Jr.,LAC,22,24,3,21,106.7,53,19,35,54.3,13,23,56.5,2,4,50.0,5,20,25,3,5,3,2,7,98,0,0,29,2025-04-07 11:37:37.144203,2024-25
40,Patrick Williams,CHI,23,59,28,31,1486.7,521,188,482,39.0,87,252,34.5,58,80,72.5,42,183,225,114,77,43,31,82,1107,1,0,-198,2025-04-07 11:37:37.144203,2024-25
40,Patty Mills,LAC,36,29,12,17,320.7,111,36,96,37.5,26,75,34.7,13,14,92.9,4,18,22,26,17,13,3,24,207,0,0,-15,2025-04-07 11:37:37.144203,2024-25
40,Paul George,PHI,34,41,15,26,1333.6,665,245,570,43.0,96,268,35.8,79,97,81.4,24,195,219,178,106,75,20,101,1374,3,0,-83,2025-04-07 11:37:37.144203,2024-25
40,Paul Reed,DET,25,43,22,21,405.9,174,67,135,49.6,8,28,28.6,32,42,76.2,38,77,115,39,25,39,21,70,526,0,0,48,2025-04-07 11:37:37.144203,2024-25
40,Payton Pritchard,BOS,27,76,56,20,2145.8,1065,376,807,46.6,246,599,41.1,67,80,83.8,98,190,288,256,73,66,14,115,1962,4,0,428,2025-04-07 11:37:37.144203,2024-25
40,Pelle Larsson,MIA,24,54,23,31,755.7,239,85,197,43.1,30,92,32.6,39,57,68.4,28,61,89,63,24,29,7,90,524,0,0,15,2025-04-07 11:37:37.144203,2024-25
40,Pete Nance,MIL,25,12,7,5,94.9,19,7,20,35.0,4,15,26.7,1,2,50.0,4,11,15,5,0,2,0,12,51,0,0,-20,2025-04-07 11:37:37.144203,2024-25
40,Peyton Watson,DEN,22,65,37,28,1593.5,527,195,409,47.7,46,129,35.7,91,132,68.9,46,174,220,92,55,47,90,117,1285,0,0,-32,2025-04-07 11:37:37.144203,2024-25
40,Phillip Wheeler,PHI,22,5,0,5,44.4,8,3,21,14.3,0,10,0.0,2,2,100,2,6,8,2,1,1,2,1,29,0,0,13,2025-04-07 11:37:37.144203,2024-25
40,Precious Achiuwa,NYK,25,54,35,19,1081.9,343,148,291,50.9,9,32,28.1,38,64,59.4,99,193,292,50,42,41,38,72,963,2,0,-51,2025-04-07 11:37:37.144203,2024-25
40,Quentin Grimes,PHI,24,72,28,44,1910.4,1038,366,767,47.7,155,391,39.6,151,198,76.3,56,242,298,211,132,71,21,133,1856,3,0,-244,2025-04-07 11:37:37.144203,2024-25
40,Quenton Jackson,IND,26,26,13,13,321.5,128,48,99,48.5,12,31,38.7,20,27,74.1,13,24,37,48,14,17,5,39,296,0,0,-13,2025-04-07 11:37:37.144203,2024-25
40,Quincy Olivari,LAL,23,2,1,1,10.3,3,1,5,20.0,1,5,20.0,0,0,0.0,0,0,0,1,1,0,0,0,4,0,0,-18,2025-04-07 11:37:37.144203,2024-25
40,Quinten Post,GSW,25,40,25,15,660.0,330,120,266,45.1,71,173,41.0,19,25,76.0,35,109,144,55,33,16,17,82,651,0,0,35,2025-04-07 11:37:37.144203,2024-25
40,RayJ Dennis,IND,24,9,6,3,24.8,7,2,10,20.0,1,7,14.3,2,2,100,2,4,6,5,4,3,0,3,27,0,0,6,2025-04-07 11:37:37.144203,2024-25
40,Rayan Rupert,POR,20,49,22,27,372.7,108,40,103,38.8,12,43,27.9,16,22,72.7,23,31,54,21,24,13,3,26,228,0,0,-74,2025-04-07 11:37:37.144203,2024-25
40,Reece Beekman,BKN,23,33,12,21,393.5,82,31,94,33.0,6,36,16.7,14,19,73.7,9,23,32,46,19,26,2,27,254,0,0,-94,2025-04-07 11:37:37.144203,2024-25
40,Reed Sheppard,HOU,20,49,30,19,559.2,195,72,207,34.8,38,122,31.1,13,16,81.3,16,53,69,59,29,30,15,44,472,0,0,-9,2025-04-07 11:37:37.144203,2024-25
40,Reggie Jackson,PHI,34,31,11,20,384.0,136,52,133,39.1,25,74,33.8,7,9,77.8,8,34,42,45,17,16,3,34,294,0,0,-19,2025-04-07 11:37:37.144203,2024-25
40,Richaun Holmes,WAS,31,31,9,22,534.1,230,90,139,64.7,0,3,0.0,50,60,83.3,62,115,177,42,21,9,23,49,580,3,0,-36,2025-04-07 11:37:37.144203,2024-25
40,Ricky Council IV,PHI,23,69,15,54,1152.0,501,169,432,39.1,52,196,26.5,111,138,80.4,45,148,193,90,44,31,12,66,953,3,0,-158,2025-04-07 11:37:37.144203,2024-25
40,Riley Minix,SAS,24,1,0,1,6.8,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,0,0,0,2025-04-07 11:37:37.144203,2024-25
40,Rob Dillingham,MIN,20,47,28,19,511.8,219,93,210,44.3,25,73,34.2,8,15,53.3,12,37,49,97,52,20,1,37,434,0,0,13,2025-04-07 11:37:37.144203,2024-25
40,Robert Williams III,POR,27,20,7,13,351.3,116,50,78,64.1,1,3,33.3,15,17,88.2,35,83,118,21,17,13,33,31,410,0,0,-17,2025-04-07 11:37:37.144203,2024-25
40,Ronald Holland II,DET,19,77,43,34,1193.3,499,187,393,47.6,34,146,23.3,91,120,75.8,38,168,206,79,70,47,14,135,978,0,0,-51,2025-04-07 11:37:37.144203,2024-25
40,Royce O'Neale,PHX,31,71,32,39,1758.0,659,233,540,43.1,174,416,41.8,19,26,73.1,52,288,340,157,62,65,31,145,1529,1,0,-96,2025-04-07 11:37:37.144203,2024-25
40,Rudy Gobert,MIN,32,68,40,28,2246.4,793,312,468,66.7,0,0,0.0,169,250,67.6,252,487,739,120,87,54,99,170,2232,34,0,293,2025-04-07 11:37:37.144203,2024-25
40,Rui Hachimura,LAL,27,57,35,22,1799.3,744,282,558,50.5,98,238,41.2,82,107,76.6,79,209,288,80,48,44,26,101,1372,1,0,122,2025-04-07 11:37:37.144203,2024-25
40,Ryan Dunn,PHX,22,70,31,39,1294.8,448,181,424,42.7,71,232,30.6,15,35,42.9,76,159,235,53,36,36,39,154,999,1,0,-178,2025-04-07 11:37:37.144203,2024-25
40,Ryan Rollins,MIL,22,53,27,26,760.3,325,122,253,48.2,45,111,40.5,36,45,80.0,20,83,103,94,49,40,17,83,712,1,0,82,2025-04-07 11:37:37.144203,2024-25
40,Sam Hauser,BOS,27,67,49,18,1436.9,553,196,436,45.0,153,371,41.2,8,8,100,43,169,212,61,21,39,12,86,1031,0,0,316,2025-04-07 11:37:37.144203,2024-25
40,Sam Merrill,CLE,28,69,53,16,1350.8,485,164,410,40.0,129,355,36.3,28,29,96.6,38,114,152,101,34,49,13,120,971,0,0,316,2025-04-07 11:37:37.144203,2024-25
40,Sandro Mamukelashvili,SAS,25,57,21,36,591.1,335,121,242,50.0,56,142,39.4,37,52,71.2,56,108,164,41,22,19,16,56,676,2,0,-18,2025-04-07 11:37:37.144203,2024-25
40,Santi Aldama,MEM,24,62,37,25,1578.9,787,304,629,48.3,114,312,36.5,65,93,69.9,94,312,406,177,68,48,29,71,1703,10,0,160,2025-04-07 11:37:37.144203,2024-25
40,Scoot Henderson,POR,21,66,30,36,1759.1,837,287,685,41.9,105,297,35.4,158,206,76.7,52,146,198,335,177,68,13,181,1643,2,0,-38,2025-04-07 11:37:37.144203,2024-25
40,Seth Curry,CHA,34,66,17,49,1024.1,418,155,329,47.1,77,172,44.8,31,36,86.1,24,87,111,59,30,26,7,58,709,0,0,-154,2025-04-07 11:37:37.144203,2024-25
40,Shaedon Sharpe,POR,21,71,32,39,2216.9,1298,486,1081,45.0,141,460,30.7,185,232,79.7,66,251,317,193,145,60,16,119,2051,3,0,-146,2025-04-07 11:37:37.144203,2024-25
40,Shai Gilgeous-Alexander,OKC,26,75,62,13,2561.1,2442,846,1630,51.9,158,426,37.1,592,658,90.0,66,307,373,480,182,131,76,159,4049,6,0,911,2025-04-07 11:37:37.144203,2024-25
40,Shake Milton,LAL,28,54,28,26,787.5,297,109,237,46.0,37,102,36.3,42,53,79.2,30,70,100,99,37,23,3,65,607,1,0,-102,2025-04-07 11:37:37.144203,2024-25
40,Sidy Cissoko,POR,21,20,10,10,60.9,22,9,18,50.0,3,7,42.9,1,6,16.7,4,7,11,6,3,1,0,7,44,0,0,-2,2025-04-07 11:37:37.144203,2024-25
40,Simone Fontecchio,DET,29,71,37,34,1198.5,426,143,359,39.8,71,216,32.9,69,83,83.1,48,160,208,63,48,30,12,94,848,0,0,22,2025-04-07 11:37:37.144203,2024-25
40,Skal Labissiere,SAC,29,4,2,2,12.0,5,2,4,50.0,1,1,100,0,0,0.0,1,2,3,1,0,0,0,1,10,0,0,-1,2025-04-07 11:37:37.144203,2024-25
40,Spencer Dinwiddie,DAL,32,77,37,40,2071.1,859,282,671,42.0,107,319,33.5,188,236,79.7,18,186,204,338,97,69,17,119,1772,5,0,-184,2025-04-07 11:37:37.144203,2024-25
40,Spencer Jones,DEN,23,20,13,7,124.6,26,11,34,32.4,1,17,5.9,3,3,100,8,9,17,5,5,5,5,17,79,0,0,-45,2025-04-07 11:37:37.144203,2024-25
40,Stanley Umude,MIL,25,20,13,7,64.5,12,4,23,17.4,2,13,15.4,2,4,50.0,4,11,15,3,2,3,3,6,51,0,0,-14,2025-04-07 11:37:37.144203,2024-25
40,Stephen Curry,GSW,37,66,39,27,2124.6,1613,527,1183,44.5,294,741,39.7,265,285,93.0,35,250,285,401,188,75,28,91,2678,9,0,263,2025-04-07 11:37:37.144203,2024-25
40,Stephon Castle,SAS,20,77,31,46,2026.2,1114,399,940,42.4,90,318,28.3,226,314,72.0,87,194,281,303,165,71,19,156,2011,5,0,-195,2025-04-07 11:37:37.144203,2024-25
40,Steven Adams,HOU,31,57,38,19,776.9,221,89,163,54.6,0,2,0.0,43,93,46.2,164,157,321,65,53,22,28,58,801,3,0,195,2025-04-07 11:37:37.144203,2024-25
40,Svi Mykhailiuk,UTA,27,35,5,30,669.9,286,100,269,37.2,60,182,33.0,26,32,81.3,20,59,79,67,49,18,6,42,504,0,0,-86,2025-04-07 11:37:37.144203,2024-25
40,T.J. McConnell,IND,33,75,46,29,1343.2,692,312,598,52.2,15,47,31.9,53,71,74.6,42,145,187,342,105,81,19,73,1624,2,0,-8,2025-04-07 11:37:37.144203,2024-25
40,Taj Gibson,CHA,39,33,10,23,360.6,93,40,81,49.4,1,2,50.0,12,20,60.0,46,60,106,18,22,9,15,48,297,1,0,-116,2025-04-07 11:37:37.144203,2024-25
40,Talen Horton-Tucker,CHI,24,54,23,31,632.3,331,117,258,45.3,39,110,35.5,58,80,72.5,18,75,93,70,36,18,10,54,596,0,0,7,2025-04-07 11:37:37.144203,2024-25
40,Tari Eason,HOU,23,55,36,19,1375.4,661,261,536,48.7,61,178,34.3,78,101,77.2,123,227,350,78,63,95,48,133,1564,6,0,186,2025-04-07 11:37:37.144203,2024-25
40,Taurean Prince,MIL,31,77,43,34,2094.2,633,227,494,46.0,141,320,44.1,38,46,82.6,34,245,279,152,81,76,14,161,1385,1,0,-15,2025-04-07 11:37:37.144203,2024-25
40,Taylor Hendricks,UTA,21,3,0,3,74.5,14,4,18,22.2,3,12,25.0,3,4,75.0,5,10,15,2,2,5,4,8,60,0,0,-22,2025-04-07 11:37:37.144203,2024-25
40,Tazé Moore,POR,26,2,0,2,19.9,6,2,10,20.0,1,4,25.0,1,2,50.0,4,4,8,1,2,2,0,0,21,0,0,-7,2025-04-07 11:37:37.144203,2024-25
40,Terance Mann,ATL,28,63,34,29,1310.7,479,188,378,49.7,58,152,38.2,45,64,70.3,61,126,187,111,43,45,15,122,1007,0,0,-116,2025-04-07 11:37:37.144203,2024-25
40,Terrence Shannon Jr.,MIN,24,31,20,11,335.5,138,55,114,48.2,11,31,35.5,17,21,81.0,10,36,46,32,15,7,5,26,262,1,0,7,2025-04-07 11:37:37.144203,2024-25
40,Terry Rozier,MIA,31,62,26,36,1611.8,675,246,623,39.5,91,302,30.1,92,108,85.2,41,188,229,164,76,36,14,73,1270,0,0,-151,2025-04-07 11:37:37.144203,2024-25
40,Terry Taylor,SAC,25,3,1,2,6.3,0,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,2,0,0,0,0,4,0,0,9,2025-04-07 11:37:37.144203,2024-25
40,Thomas Bryant,IND,27,62,41,21,913.4,410,156,305,51.1,45,138,32.6,53,62,85.5,81,162,243,52,29,27,37,74,943,1,0,13,2025-04-07 11:37:37.144203,2024-25
40,Tidjane Salaün,CHA,19,56,12,44,1125.0,321,104,310,33.5,52,181,28.7,61,84,72.6,69,186,255,67,51,29,14,77,806,2,0,-292,2025-04-07 11:37:37.144203,2024-25
40,Tim Hardaway Jr.,DET,33,73,40,33,2053.0,806,263,644,40.8,159,430,37.0,121,142,85.2,18,160,178,118,46,37,7,92,1283,0,0,43,2025-04-07 11:37:37.144203,2024-25
40,Tobias Harris,DET,32,70,39,31,2237.6,964,371,783,47.4,85,254,33.5,137,158,86.7,64,359,423,156,79,70,55,129,2002,5,0,212,2025-04-07 11:37:37.144203,2024-25
40,Tony Bradley,IND,27,12,10,2,61.1,37,18,22,81.8,1,3,33.3,0,2,0.0,7,12,19,3,4,1,4,7,75,0,0,9,2025-04-07 11:37:37.144203,2024-25
40,Torrey Craig,BOS,34,23,14,9,254.8,106,37,81,45.7,24,60,40.0,8,12,66.7,26,32,58,11,2,4,10,29,232,0,0,-53,2025-04-07 11:37:37.144203,2024-25
40,Tosan Evbuomwan,BKN,24,24,7,17,571.2,227,82,185,44.3,19,63,30.2,44,58,75.9,29,74,103,42,34,18,8,45,458,0,0,-24,2025-04-07 11:37:37.144203,2024-25
40,Toumani Camara,POR,24,75,32,43,2460.4,842,313,678,46.2,128,341,37.5,88,122,72.1,168,266,434,166,108,112,49,224,1987,4,0,-142,2025-04-07 11:37:37.144203,2024-25
40,Trae Young,ATL,26,73,34,39,2635.3,1753,539,1319,40.9,206,612,33.7,469,535,87.7,35,196,231,847,345,87,12,142,3253,48,0,9,2025-04-07 11:37:37.144203,2024-25
40,Trayce Jackson-Davis,GSW,25,59,31,28,942.1,394,170,297,57.2,0,2,0.0,54,95,56.8,118,182,300,102,42,22,38,70,1045,4,0,-63,2025-04-07 11:37:37.144203,2024-25
40,Tre Jones,CHI,25,46,21,25,905.0,330,128,238,53.8,19,48,39.6,55,67,82.1,31,85,116,192,35,37,10,55,863,1,0,-31,2025-04-07 11:37:37.144203,2024-25
40,Tre Mann,CHA,24,13,6,7,319.0,183,70,161,43.5,24,60,40.0,19,21,90.5,12,26,38,39,25,7,4,24,295,0,0,-55,2025-04-07 11:37:37.144203,2024-25
40,Trendon Watford,BKN,24,40,15,25,804.3,385,141,309,45.6,25,80,31.3,78,105,74.3,31,106,137,99,71,25,11,85,735,1,0,-61,2025-04-07 11:37:37.144203,2024-25
40,Trentyn Flowers,LAC,20,4,2,2,24.9,11,4,10,40.0,0,2,0.0,3,3,100,1,3,4,0,1,0,0,4,15,0,0,1,2025-04-07 11:37:37.144203,2024-25
40,Trevelin Queen,ORL,28,29,13,16,395.1,126,47,134,35.1,17,69,24.6,15,17,88.2,24,23,47,34,22,28,10,37,325,0,0,-98,2025-04-07 11:37:37.144203,2024-25
40,Trey Alexander,DEN,21,23,13,10,110.9,30,12,40,30.0,3,17,17.6,3,4,75.0,1,10,11,11,5,1,1,10,61,0,0,-15,2025-04-07 11:37:37.144203,2024-25
40,Trey Jemison III,LAL,25,34,15,19,359.5,88,38,70,54.3,0,0,0.0,12,31,38.7,38,55,93,14,19,9,14,65,271,0,0,-13,2025-04-07 11:37:37.144203,2024-25
40,Trey Lyles,SAC,29,65,32,33,1219.0,407,140,342,40.9,75,221,33.9,52,74,70.3,71,221,292,76,35,40,22,81,1022,1,0,-66,2025-04-07 11:37:37.144203,2024-25
40,Trey Murphy III,NOP,24,53,14,39,1854.2,1124,381,839,45.4,158,438,36.1,204,230,88.7,47,221,268,188,103,56,39,112,1910,2,0,-384,2025-04-07 11:37:37.144203,2024-25
40,Tristan Thompson,CLE,34,38,31,7,265.5,59,27,59,45.8,0,3,0.0,5,22,22.7,26,76,102,23,11,1,9,31,235,0,0,-55,2025-04-07 11:37:37.144203,2024-25
40,Tristan Vukcevic,WAS,22,32,6,26,423.9,261,97,203,47.8,30,87,34.5,37,49,75.5,21,89,110,32,33,11,20,46,501,0,0,-91,2025-04-07 11:37:37.144203,2024-25
40,Tristan da Silva,ORL,23,71,33,38,1545.6,500,186,451,41.2,75,227,33.0,53,61,86.9,69,163,232,104,53,30,16,89,1019,1,0,-98,2025-04-07 11:37:37.144203,2024-25
40,Tristen Newton,MIN,23,8,2,6,16.1,3,1,8,12.5,0,3,0.0,1,1,100,2,2,4,2,2,1,0,4,12,0,0,-5,2025-04-07 11:37:37.144203,2024-25
40,Ty Jerome,CLE,27,68,54,14,1345.3,836,303,591,51.3,104,243,42.8,126,145,86.9,49,122,171,226,88,78,2,98,1532,0,0,274,2025-04-07 11:37:37.144203,2024-25
40,TyTy Washington Jr.,PHX,23,13,3,10,102.9,31,12,39,30.8,4,20,20.0,3,4,75.0,4,8,12,15,3,3,0,4,74,0,0,-7,2025-04-07 11:37:37.144203,2024-25
40,Tyler Herro,MIA,25,74,35,39,2635.3,1768,623,1328,46.9,245,656,37.3,277,316,87.7,33,353,386,414,187,66,17,84,2914,9,0,52,2025-04-07 11:37:37.144203,2024-25
40,Tyler Kolek,NYK,24,40,26,14,281.7,76,26,77,33.8,13,43,30.2,11,15,73.3,6,18,24,66,15,12,4,25,237,0,0,8,2025-04-07 11:37:37.144203,2024-25
40,Tyler Smith,MIL,20,22,11,11,92.0,47,18,41,43.9,9,24,37.5,2,4,50.0,4,17,21,4,6,2,3,9,87,0,0,9,2025-04-07 11:37:37.144203,2024-25
40,Tyrese Haliburton,IND,25,71,44,27,2383.5,1314,463,979,47.3,211,544,38.8,177,207,85.5,41,208,249,657,117,104,46,91,2931,30,0,207,2025-04-07 11:37:37.144203,2024-25
40,Tyrese Martin,BKN,26,57,16,41,1242.8,494,177,436,40.6,96,266,36.1,44,56,78.6,56,154,210,114,65,32,8,74,972,1,0,-246,2025-04-07 11:37:37.144203,2024-25
40,Tyson Etienne,BKN,25,3,0,3,67.2,20,7,22,31.8,4,16,25.0,2,4,50.0,1,5,6,8,3,2,1,6,45,0,0,-12,2025-04-07 11:37:37.144203,2024-25
40,Tyus Jones,PHX,28,77,35,42,2100.6,794,292,649,45.0,159,382,41.6,51,57,89.5,40,147,187,418,89,65,7,62,1772,6,0,-74,2025-04-07 11:37:37.144203,2024-25
40,Ulrich Chomche,TOR,19,7,3,4,32.2,5,2,5,40.0,0,0,0.0,1,2,50.0,4,4,8,2,2,0,1,5,19,0,0,-24,2025-04-07 11:37:37.144203,2024-25
40,Vasilije Micić,PHX,31,41,8,33,784.9,269,95,273,34.8,45,125,36.0,34,41,82.9,20,69,89,128,77,15,0,45,536,1,0,-122,2025-04-07 11:37:37.144203,2024-25
40,Vince Williams Jr.,MEM,24,23,8,15,424.2,152,57,144,39.6,21,81,25.9,17,22,77.3,17,61,78,47,29,11,5,39,335,0,0,-7,2025-04-07 11:37:37.144203,2024-25
40,Vlatko Čančar,DEN,27,13,2,11,135.8,24,10,26,38.5,4,15,26.7,0,0,0.0,6,26,32,9,11,3,2,10,80,0,0,-18,2025-04-07 11:37:37.144203,2024-25
40,Vít Krejčí,ATL,24,53,25,28,1081.6,385,136,280,48.6,86,199,43.2,27,40,67.5,19,123,142,137,45,32,26,100,890,1,0,-72,2025-04-07 11:37:37.144203,2024-25
